5,8,6,8,6,31,33,42
1,1,0,2,5,12,9,0
6,9,6,10,11,43,42,42
10,5,3,6,0,38,32,41
0,5,0,4,9,5,10,1
10,10,3,10,9,43,42,42
9,7,4,7,11,40,30,38
0,1,0,1,2,3,12,4
9,8,4,8,13,43,42,42
6,4,1,10,5,3,42,39
6,1,5,0,4,40,0,3
12,5,6,10,9,43,42,42
4,6,7,6,5,37,29,39
1,6,1,1,5,6,13,3
5,12,8,7,10,43,42,42
5,9,8,8,3,33,30,39
2,2,0,0,5,10,12,3
7,11,8,8,8,43,42,42
7,0,6,10,7,41,0,35
1,4,0,1,6,2,42,7
8,4,6,11,13,43,42,42
8,6,7,7,4,0,42,40
4,0,0,1,5,43,0,2
12,6,7,8,9,43,42,42
5,5,14,7,4,38,30,38
0,3,0,0,4,5,12,4
5,8,14,7,8,43,42,42
10,10,4,7,3,22,35,40
1,0,3,1,3,21,7,2
11,10,7,8,6,43,42,42
7,10,8,2,7,40,0,22
1,2,0,4,1,3,42,20
8,12,8,6,8,43,42,42
8,4,6,10,4,40,21,40
0,5,2,0,3,3,21,2
8,9,8,10,7,43,42,42
4,10,10,11,5,39,34,34
0,2,0,0,0,4,8,8
4,12,10,11,5,43,42,42
7,8,6,8,4,39,29,40
2,2,0,2,3,4,13,2
9,10,6,10,7,43,42,42
9,10,8,4,3,27,35,42
2,0,2,1,3,16,7,0
11,10,10,5,6,43,42,42
9,6,6,7,4,27,36,40
0,5,1,0,4,16,6,2
9,11,7,7,8,43,42,42
6,4,2,9,3,39,0,42
3,2,4,1,8,4,42,0
9,6,6,10,11,43,42,42
5,9,11,8,2,15,42,39
2,1,0,1,3,28,0,3
7,10,11,9,5,43,42,42
6,5,7,4,6,8,37,38
2,0,0,2,10,35,5,4
8,5,7,6,16,43,42,42
8,10,2,5,0,8,0,41
1,2,1,2,11,35,42,1
9,12,3,7,11,43,42,42
7,3,3,11,10,13,40,42
0,0,5,0,3,30,2,0
7,3,8,11,13,43,42,42
