8,4,4,8,12,30,30,42
0,0,5,0,1,13,12,0
8,4,9,8,13,43,42,42
3,9,10,10,5,40,10,41
0,0,0,3,2,3,32,1
3,9,10,13,7,43,42,42
5,11,6,6,8,40,24,38
0,1,0,2,3,3,18,4
5,12,6,8,11,43,42,42
7,3,8,5,4,41,10,41
6,3,3,0,3,2,32,1
13,6,11,5,7,43,42,42
2,12,3,7,1,20,42,41
2,3,3,2,7,23,0,1
4,15,6,9,8,43,42,42
0,6,8,7,9,43,18,35
2,2,5,0,3,0,24,7
2,8,13,7,12,43,42,42
4,2,9,12,7,25,25,41
1,2,1,1,3,18,17,1
5,4,10,13,10,43,42,42
6,6,9,7,5,0,41,42
1,2,3,0,3,43,1,0
7,8,12,7,8,43,42,42
4,6,6,6,6,11,42,41
3,3,0,3,5,32,0,1
7,9,6,9,11,43,42,42
7,14,6,8,2,41,20,42
1,0,2,0,2,2,22,0
8,14,8,8,4,43,42,42
