5,7,6,9,6,15,42,42
1,2,0,1,5,28,0,0
6,9,6,10,11,43,42,42
9,8,3,7,3,39,22,36
1,2,0,3,6,4,20,6
10,10,3,10,9,43,42,42
7,7,4,8,12,43,6,39
2,1,0,0,1,0,36,3
9,8,4,8,13,43,42,42
12,4,5,10,9,41,18,42
0,1,1,0,0,2,24,0
12,5,6,10,9,43,42,42
4,8,7,6,6,25,39,40
1,4,1,1,4,18,3,2
5,12,8,7,10,43,42,42
6,10,8,8,2,40,13,40
1,1,0,0,6,3,29,2
7,11,8,8,8,43,42,42
8,3,6,9,10,39,10,36
0,1,0,2,3,4,32,6
8,4,6,11,13,43,42,42
9,5,3,8,6,13,41,41
3,1,4,0,3,30,1,1
12,6,7,8,9,43,42,42
5,5,14,7,3,39,29,42
0,3,0,0,5,4,13,0
5,8,14,7,8,43,42,42
10,10,5,7,3,33,32,40
1,0,2,1,3,10,10,2
11,10,7,8,6,43,42,42
5,7,8,6,4,35,23,42
3,5,0,0,4,8,19,0
8,12,8,6,8,43,42,42
2,6,4,10,6,28,35,37
6,3,4,0,1,15,7,5
8,9,8,10,7,43,42,42
4,10,10,9,4,38,18,40
0,2,0,2,1,5,24,2
4,12,10,11,5,43,42,42
8,5,2,10,5,42,17,40
1,5,4,0,2,1,25,2
9,10,6,10,7,43,42,42
8,9,3,2,2,2,41,41
3,1,7,3,4,41,1,1
11,10,10,5,6,43,42,42
7,10,7,6,8,18,24,37
2,1,0,1,0,25,18,5
9,11,7,7,8,43,42,42
8,5,6,7,7,34,36,42
1,1,0,3,4,9,6,0
9,6,6,10,11,43,42,42
6,8,11,9,2,20,42,37
1,2,0,0,3,23,0,5
7,10,11,9,5,43,42,42
7,2,6,6,2,40,23,40
1,3,1,0,14,3,19,2
8,5,7,6,16,43,42,42
9,12,3,7,2,36,28,41
0,0,0,0,9,7,14,1
9,12,3,7,11,43,42,42
7,1,6,11,12,7,41,39
0,2,2,0,1,36,1,3
7,3,8,11,13,43,42,42
