6,4,7,8,2,33,24,42
2,0,2,0,11,10,18,0
8,4,9,8,13,43,42,42
2,0,1,9,5,39,8,36
1,9,9,4,2,4,34,6
3,9,10,13,7,43,42,42
5,7,3,8,4,41,35,32
0,5,3,0,7,2,7,10
5,12,6,8,11,43,42,42
12,2,6,5,4,40,14,31
1,4,5,0,3,3,28,11
13,6,11,5,7,43,42,42
4,14,5,9,4,41,17,41
0,1,1,0,4,2,25,1
4,15,6,9,8,43,42,42
1,7,12,5,4,32,28,42
1,1,1,2,8,11,14,0
2,8,13,7,12,43,42,42
4,2,1,6,6,23,26,41
1,2,9,7,4,20,16,1
5,4,10,13,10,43,42,42
7,7,2,5,6,2,40,39
0,1,10,2,2,41,2,3
7,8,12,7,8,43,42,42
6,5,4,3,7,33,39,40
1,4,2,6,4,10,3,2
7,9,6,9,11,43,42,42
7,11,8,6,2,35,37,42
1,3,0,2,2,8,5,0
8,14,8,8,4,43,42,42
