4,4,3,8,8,0,0,0
4,0,6,0,5,43,42,42
8,4,9,8,13,43,42,42
3,3,10,4,7,0,0,3
0,6,0,9,0,43,42,39
3,9,10,13,7,43,42,42
5,9,6,5,10,0,0,0
0,3,0,3,1,43,42,42
5,12,6,8,11,43,42,42
12,6,0,5,3,9,10,0
1,0,11,0,4,34,32,42
13,6,11,5,7,43,42,42
4,15,3,8,6,6,0,0
0,0,3,1,2,37,42,42
4,15,6,9,8,43,42,42
2,3,12,4,11,0,1,1
0,5,1,3,1,43,41,41
2,8,13,7,12,43,42,42
2,2,6,7,8,17,34,0
3,2,4,6,2,26,8,42
5,4,10,13,10,43,42,42
7,7,6,5,5,0,0,31
0,1,6,2,3,43,42,11
7,8,12,7,8,43,42,42
4,8,3,1,11,6,1,2
3,1,3,8,0,37,41,40
7,9,6,9,11,43,42,42
8,14,8,8,4,0,33,0
0,0,0,0,0,43,9,42
8,14,8,8,4,43,42,42
