8,4,4,8,11,41,3,41
0,0,5,0,2,2,39,1
8,4,9,8,13,43,42,42
3,7,10,11,1,37,6,42
0,2,0,2,6,6,36,0
3,9,10,13,7,43,42,42
5,10,6,6,10,39,22,1
0,2,0,2,1,4,20,41
5,12,6,8,11,43,42,42
13,5,11,4,7,40,27,36
0,1,0,1,0,3,15,6
13,6,11,5,7,43,42,42
0,6,5,9,3,41,16,41
4,9,1,0,5,2,26,1
4,15,6,9,8,43,42,42
2,5,9,6,3,40,20,42
0,3,4,1,9,3,22,0
2,8,13,7,12,43,42,42
5,3,7,11,5,33,24,40
0,1,3,2,5,10,18,2
5,4,10,13,10,43,42,42
7,5,9,7,7,37,20,34
0,3,3,0,1,6,22,8
7,8,12,7,8,43,42,42
6,8,5,9,11,19,33,37
1,1,1,0,0,24,9,5
7,9,6,9,11,43,42,42
7,14,8,8,3,32,41,42
1,0,0,0,1,11,1,0
8,14,8,8,4,43,42,42
