2,0,2,1,5,4,0,41
4,9,4,9,6,39,42,1
6,9,6,10,11,43,42,42
4,10,3,0,3,34,0,1
6,0,0,10,6,9,42,41
10,10,3,10,9,43,42,42
0,1,0,7,0,0,0,42
9,7,4,1,13,43,42,0
9,8,4,8,13,43,42,42
0,3,4,0,6,37,0,0
12,2,2,10,3,6,42,42
12,5,6,10,9,43,42,42
2,8,4,1,5,3,0,39
3,4,4,6,5,40,42,3
5,12,8,7,10,43,42,42
2,3,0,8,4,6,28,36
5,8,8,0,4,37,14,6
7,11,8,8,8,43,42,42
5,1,2,1,2,0,0,41
3,3,4,10,11,43,42,1
8,4,6,11,13,43,42,42
9,0,2,1,2,0,0,42
3,6,5,7,7,43,42,0
12,6,7,8,9,43,42,42
2,6,14,6,3,0,31,13
3,2,0,1,5,43,11,29
5,8,14,7,8,43,42,42
6,0,5,0,0,0,42,0
5,10,2,8,6,43,0,42
11,10,7,8,6,43,42,42
1,11,0,6,3,3,21,38
7,1,8,0,5,40,21,4
8,12,8,6,8,43,42,42
0,0,1,5,7,2,15,0
8,9,7,5,0,41,27,42
8,9,8,10,7,43,42,42
1,1,10,0,0,43,0,0
3,11,0,11,5,0,42,42
4,12,10,11,5,43,42,42
3,5,1,6,6,37,0,0
6,5,5,4,1,6,42,42
9,10,6,10,7,43,42,42
0,3,4,1,0,0,39,41
11,7,6,4,6,43,3,1
11,10,10,5,6,43,42,42
8,0,0,0,0,28,0,42
1,11,7,7,8,15,42,0
9,11,7,7,8,43,42,42
0,0,0,0,4,0,23,42
9,6,6,10,7,43,19,0
9,6,6,10,11,43,42,42
1,9,10,9,2,0,0,34
6,1,1,0,3,43,42,8
7,10,11,9,5,43,42,42
3,1,1,1,0,0,42,38
5,4,6,5,16,43,0,4
8,5,7,6,16,43,42,42
0,5,0,5,0,0,0,41
9,7,3,2,11,43,42,1
9,12,3,7,11,43,42,42
0,0,1,11,6,0,0,41
7,3,7,0,7,43,42,1
7,3,8,11,13,43,42,42
