3,7,6,3,8,0,0,0
3,2,0,7,3,43,42,42
6,9,6,10,11,43,42,42
9,4,3,0,8,0,0,0
1,6,0,10,1,43,42,42
10,10,3,10,9,43,42,42
9,4,4,8,13,0,0,0
0,4,0,0,0,43,42,42
9,8,4,8,13,43,42,42
12,0,5,0,9,0,0,0
0,5,1,10,0,43,42,42
12,5,6,10,9,43,42,42
3,12,7,7,8,0,0,0
2,0,1,0,2,43,42,42
5,12,8,7,10,43,42,42
6,11,8,6,5,0,0,0
1,0,0,2,3,43,42,42
7,11,8,8,8,43,42,42
8,3,5,11,6,0,0,0
0,1,1,0,7,43,42,42
8,4,6,11,13,43,42,42
10,3,5,6,9,0,0,0
2,3,2,2,0,43,42,42
12,6,7,8,9,43,42,42
4,7,6,4,8,0,0,0
1,1,8,3,0,43,42,42
5,8,14,7,8,43,42,42
10,0,0,7,3,0,0,0
1,10,7,1,3,43,42,42
11,10,7,8,6,43,42,42
5,11,1,6,7,0,0,0
3,1,7,0,1,43,42,42
8,12,8,6,8,43,42,42
7,2,0,10,0,0,0,0
1,7,8,0,7,43,42,42
8,9,8,10,7,43,42,42
4,11,9,8,5,0,0,0
0,1,1,3,0,43,42,42
4,12,10,11,5,43,42,42
8,5,6,8,6,0,0,0
1,5,0,2,1,43,42,42
9,10,6,10,7,43,42,42
7,10,0,4,6,0,0,0
4,0,10,1,0,43,42,42
11,10,10,5,6,43,42,42
8,10,0,2,1,0,0,0
1,1,7,5,7,43,42,42
9,11,7,7,8,43,42,42
9,4,2,8,7,0,0,0
0,2,4,2,4,43,42,42
9,6,6,10,11,43,42,42
0,10,4,9,3,0,0,0
7,0,7,0,2,43,42,42
7,10,11,9,5,43,42,42
4,0,7,3,12,0,0,0
4,5,0,3,4,43,42,42
8,5,7,6,16,43,42,42
9,9,3,6,11,0,0,0
0,3,0,1,0,43,42,42
9,12,3,7,11,43,42,42
4,2,1,7,13,0,0,0
3,1,7,4,0,43,42,42
7,3,8,11,13,43,42,42
