18,30,30,29,30,42,43,52
13,1,1,2,1,17,15,6
31,31,31,31,31,59,58,58
27,28,30,29,30,55,13,40
4,3,1,2,1,4,45,18
31,31,31,31,31,59,58,58
29,30,30,29,30,47,48,35
2,1,1,2,1,12,10,23
31,31,31,31,31,59,58,58
11,26,25,25,30,2,58,54
20,5,6,6,1,57,0,4
31,31,31,31,31,59,58,58
27,23,30,28,31,58,20,38
4,8,1,3,0,1,38,20
31,31,31,31,31,59,58,58
17,19,29,28,31,1,56,40
14,12,2,3,0,58,2,18
31,31,31,31,31,59,58,58
23,30,31,31,29,54,37,53
8,1,0,0,2,5,21,5
31,31,31,31,31,59,58,58
15,27,30,24,31,6,34,57
16,4,1,7,0,53,24,1
31,31,31,31,31,59,58,58
20,23,27,28,30,52,23,57
11,8,4,3,1,7,35,1
31,31,31,31,31,59,58,58
31,29,30,29,27,50,46,43
0,2,1,2,4,9,12,15
31,31,31,31,31,59,58,58
19,29,30,28,27,23,58,36
12,2,1,3,4,36,0,22
31,31,31,31,31,59,58,58
28,26,27,22,31,15,56,44
3,5,4,9,0,44,2,14
31,31,31,31,31,59,58,58
11,20,26,22,31,51,40,56
20,11,5,9,0,8,18,2
31,31,31,31,31,59,58,58
