26,27,23,30,28,58,30,40
5,4,8,1,3,1,28,18
31,31,31,31,31,59,58,58
20,26,25,26,29,54,39,53
11,5,6,5,2,5,19,5
31,31,31,31,31,59,58,58
24,26,29,28,28,56,42,53
7,5,2,3,3,3,16,5
31,31,31,31,31,59,58,58
25,30,31,27,29,56,30,53
6,1,0,4,2,3,28,5
31,31,31,31,31,59,58,58
28,26,29,28,28,53,31,51
3,5,2,3,3,6,27,7
31,31,31,31,31,59,58,58
31,28,28,28,29,51,48,38
0,3,3,3,2,8,10,20
31,31,31,31,31,59,58,58
26,25,29,20,31,48,22,56
5,6,2,11,0,11,36,2
31,31,31,31,31,59,58,58
14,31,31,27,31,44,51,58
17,0,0,4,0,15,7,0
31,31,31,31,31,59,58,58
