24,30,25,11,31,51,44,26
7,1,6,20,0,8,14,32
31,31,31,31,31,59,58,58
18,26,28,16,30,48,48,58
13,5,3,15,1,11,10,0
31,31,31,31,31,59,58,58
14,30,29,1,31,35,55,54
17,1,2,30,0,24,3,4
31,31,31,31,31,59,58,58
30,29,29,27,28,43,4,6
1,2,2,4,3,16,54,52
31,31,31,31,31,59,58,58
18,27,26,30,26,52,45,58
13,4,5,1,5,7,13,0
31,31,31,31,31,59,58,58
31,27,26,28,2,56,1,27
0,4,5,3,29,3,57,31
31,31,31,31,31,59,58,58
31,28,30,28,22,19,41,16
0,3,1,3,9,40,17,42
31,31,31,31,31,59,58,58
13,31,31,30,31,17,51,54
18,0,0,1,0,42,7,4
31,31,31,31,31,59,58,58
3,30,29,29,28,27,49,57
28,1,2,2,3,32,9,1
31,31,31,31,31,59,58,58
