29,29,31,29,30,58,13,41
2,2,0,2,1,1,45,17
31,31,31,31,31,59,58,58
20,29,29,29,27,52,35,57
11,2,2,2,4,7,23,1
31,31,31,31,31,59,58,58
25,27,30,21,30,49,53,58
6,4,1,10,1,10,5,0
31,31,31,31,31,59,58,58
28,30,30,30,23,45,49,40
3,1,1,1,8,14,9,18
31,31,31,31,31,59,58,58
24,29,29,28,30,55,10,57
7,2,2,3,1,4,48,1
31,31,31,31,31,59,58,58
29,29,29,30,29,56,45,49
2,2,2,1,2,3,13,9
31,31,31,31,31,59,58,58
28,25,30,29,25,57,20,45
3,6,1,2,6,2,38,13
31,31,31,31,31,59,58,58
23,29,27,31,31,33,55,32
8,2,4,0,0,26,3,26
31,31,31,31,31,59,58,58
6,29,30,30,23,0,58,56
25,2,1,1,8,59,0,2
31,31,31,31,31,59,58,58
