12,27,23,30,28,48,37,37
19,4,8,1,3,11,21,21
31,31,31,31,31,59,58,58
21,24,20,27,29,45,50,41
10,7,11,4,2,14,8,17
31,31,31,31,31,59,58,58
15,27,31,29,30,27,54,42
16,4,0,2,1,32,4,16
31,31,31,31,31,59,58,58
24,24,30,27,28,36,50,40
7,7,1,4,3,23,8,18
31,31,31,31,31,59,58,58
21,26,22,28,28,41,44,45
10,5,9,3,3,18,14,13
31,31,31,31,31,59,58,58
12,29,28,30,29,19,52,43
19,2,3,1,2,40,6,15
31,31,31,31,31,59,58,58
19,21,26,24,30,51,20,45
12,10,5,7,1,8,38,13
31,31,31,31,31,59,58,58
13,29,30,27,31,35,42,40
18,2,1,4,0,24,16,18
31,31,31,31,31,59,58,58
