18,26,29,30,28,57,28,44
13,5,2,1,3,2,30,14
31,31,31,31,31,59,58,58
23,29,27,26,29,54,46,52
8,2,4,5,2,5,12,6
31,31,31,31,31,59,58,58
23,26,31,27,30,53,39,49
8,5,0,4,1,6,19,9
31,31,31,31,31,59,58,58
28,28,30,28,27,36,46,43
3,3,1,3,4,23,12,15
31,31,31,31,31,59,58,58
28,30,28,29,28,52,33,48
3,1,3,2,3,7,25,10
31,31,31,31,31,59,58,58
27,29,27,30,26,31,55,39
4,2,4,1,5,28,3,19
31,31,31,31,31,59,58,58
24,25,30,29,26,59,26,46
7,6,1,2,5,0,32,12
31,31,31,31,31,59,58,58
17,30,31,30,31,49,43,54
14,1,0,1,0,10,15,4
31,31,31,31,31,59,58,58
