1,B,1067,156,483
1,B,1096,164,479
1,B,1178,156,457
1,B,1209,128,485
1,B,1227,92,538
1,B,1217,69,575
1,B,1191,76,619
1,B,1190,103,640
1,B,1280,248,550
1,B,1328,293,474
1,B,1346,314,428
1,B,1336,314,423
1,B,1323,281,457
1,B,1324,255,491
1,B,1272,197,512
1,B,1243,168,478
1,B,1251,164,441
1,B,1279,183,413
1,B,1320,209,398
1,B,1344,239,446
1,B,1306,264,557
1,B,1284,251,563
1,B,1244,246,540
1,B,1213,238,479
1,B,1212,214,417
1,B,1217,216,373
1,B,1209,217,392
1,B,1197,213,447
1,B,1178,199,494
1,B,1163,190,539
1,B,1135,156,534
1,B,1051,119,442
1,B,1020,102,417
1,B,995,67,373
1,B,974,31,370
1,B,948,36,399
1,B,931,85,370
1,B,998,136,333
1,B,1022,201,334
1,B,1016,232,322
1,B,973,230,298
1,B,912,197,249
1,B,854,131,196
1,B,709,29,127
1,B,650,-28,70
1,B,579,-91,18
1,B,516,-142,-33
1,B,499,-173,-81
1,B,520,-178,-92
1,B,501,-105,-102
1,B,506,-118,-92
1,B,505,-136,-72
1,B,522,-141,-65
1,B,544,-131,-88
1,B,561,-134,-143
1,B,573,-128,-224
1,B,570,-122,-243
1,B,574,-111,-235
1,B,584,-131,-209
1,B,595,-155,-192
1,B,611,-171,-212
1,B,664,-214,-263
1,B,707,-214,-305
1,B,745,-206,-356
1,B,766,-218,-374
1,B,761,-246,-372
1,B,751,-277,-365
1,B,736,-341,-335
1,B,720,-373,-321
1,B,717,-391,-307
1,B,723,-419,-294
1,B,714,-418,-259
1,B,750,-379,-192
1,B,771,-373,-170
1,B,755,-308,-172
1,B,772,-343,-229
1,B,729,-327,-237
1,B,688,-328,-241
1,B,618,-346,-223
1,B,607,-336,-207
1,B,604,-315,-169
1,B,603,-285,-129
1,B,590,-273,-101
1,B,597,-229,-79
1,B,627,-110,-28
1,B,611,-88,-40
1,B,577,-92,-66
1,B,536,-101,-117
1,B,509,-108,-174
1,B,525,-72,-182
1,B,599,103,-106
1,B,653,174,-74
1,B,712,218,-24
1,B,767,246,28
1,B,807,276,65
1,B,827,262,97
1,B,798,282,88
1,B,860,324,51
1,B,920,397,18
1,B,978,413,16
1,B,1001,474,94
1,B,987,535,158
1,B,1090,464,220
1,B,1112,460,173
1,B,1093,459,118
1,B,1100,445,99
1,B,1121,456,115
1,B,1143,475,167
1,B,1188,489,211
1,B,1176,517,188
1,B,1178,489,170
1,B,1174,491,153
1,B,1196,483,137
1,B,1256,447,142
1,B,1276,429,154
1,B,1290,419,128
1,B,1292,426,82
1,B,1304,422,19
1,B,1319,448,-38
1,B,1344,514,16
1,B,1326,464,91
1,B,1301,395,114
1,B,1277,313,91
1,B,1261,217,52
1,B,1249,146,30
1,B,1236,48,63
1,B,1232,5,93
1,B,1235,-35,115
1,B,1235,-76,140
1,B,1225,-129,142
1,B,1203,-172,143
1,B,1186,-249,136
1,B,1187,-281,141
1,B,1188,-318,159
1,B,1188,-356,175
1,B,1185,-385,163
1,B,1170,-400,136
1,B,1175,-404,92
1,B,1168,-397,71
1,B,1147,-405,33
1,B,1108,-418,-6
1,B,1070,-429,-41
1,B,1035,-428,-43
1,B,964,-414,-23
1,B,942,-398,-20
1,B,928,-382,-22
1,B,903,-350,-38
1,B,876,-338,-67
1,B,847,-326,-91
1,B,799,-317,-87
1,B,770,-321,-71
1,B,748,-319,-18
1,B,719,-307,43
1,B,667,-303,44
1,B,594,-278,-58
1,B,623,-220,-59
1,B,647,-132,-44
1,B,658,-53,-34
1,B,667,-59,-49
1,B,670,-48,-63
1,B,620,-115,26
1,B,590,-152,120
1,B,561,-162,203
1,B,534,-153,245
1,B,559,-110,265
1,B,611,-33,236
1,B,649,39,59
1,B,670,51,-28
1,B,699,107,-47
