17,28,28,29,30,45,48,56
14,3,3,2,1,14,10,2
31,31,31,31,31,59,58,58
29,30,30,29,30,53,26,35
2,1,1,2,1,6,32,23
31,31,31,31,31,59,58,58
29,29,29,29,30,42,52,49
2,2,2,2,1,17,6,9
31,31,31,31,31,59,58,58
28,30,29,29,30,24,55,46
3,1,2,2,1,35,3,12
31,31,31,31,31,59,58,58
23,22,29,28,31,55,53,49
8,9,2,3,0,4,5,9
31,31,31,31,31,59,58,58
25,26,30,28,31,49,50,56
6,5,1,3,0,10,8,2
31,31,31,31,31,59,58,58
28,27,30,31,29,56,38,47
3,4,1,0,2,3,20,11
31,31,31,31,31,59,58,58
28,29,30,24,31,52,9,19
3,2,1,7,0,7,49,39
31,31,31,31,31,59,58,58
25,12,27,27,30,57,18,50
6,19,4,4,1,2,40,8
31,31,31,31,31,59,58,58
31,28,30,29,27,59,36,25
0,3,1,2,4,0,22,33
31,31,31,31,31,59,58,58
22,28,30,29,27,37,56,57
9,3,1,2,4,22,2,1
31,31,31,31,31,59,58,58
24,27,27,22,31,42,48,47
7,4,4,9,0,17,10,11
31,31,31,31,31,59,58,58
1,22,26,22,30,15,24,57
30,9,5,9,1,44,34,1
31,31,31,31,31,59,58,58
