29,30,30,29,30,0,0,0
2,1,1,2,1,59,58,58
31,31,31,31,31,59,58,58
29,30,30,29,30,0,0,0
2,1,1,2,1,59,58,58
31,31,31,31,31,59,58,58
29,30,30,29,30,0,0,0
2,1,1,2,1,59,58,58
31,31,31,31,31,59,58,58
29,30,30,29,30,0,0,0
2,1,1,2,1,59,58,58
31,31,31,31,31,59,58,58
27,26,31,28,31,0,0,0
4,5,0,3,0,59,58,58
31,31,31,31,31,59,58,58
27,26,31,28,31,0,0,0
4,5,0,3,0,59,58,58
31,31,31,31,31,59,58,58
31,30,31,31,29,0,0,0
0,1,0,0,2,59,58,58
31,31,31,31,31,59,58,58
28,29,30,24,31,0,0,0
3,2,1,7,0,59,58,58
31,31,31,31,31,59,58,58
30,26,28,28,30,0,0,0
1,5,3,3,1,59,58,58
31,31,31,31,31,59,58,58
31,29,30,29,27,0,0,0
0,2,1,2,4,59,58,58
31,31,31,31,31,59,58,58
31,29,30,29,27,0,0,0
0,2,1,2,4,59,58,58
31,31,31,31,31,59,58,58
29,29,28,22,31,0,0,0
2,2,3,9,0,59,58,58
31,31,31,31,31,59,58,58
29,29,28,22,31,0,0,0
2,2,3,9,0,59,58,58
31,31,31,31,31,59,58,58
