29,14,24,29,14,36,50,52
2,17,7,2,17,23,8,6
31,31,31,31,31,59,58,58
26,29,23,28,11,56,0,46
5,2,8,3,20,3,58,12
31,31,31,31,31,59,58,58
30,30,31,29,24,38,33,36
1,1,0,2,7,21,25,22
31,31,31,31,31,59,58,58
31,13,26,19,31,18,28,33
0,18,5,12,0,41,30,25
31,31,31,31,31,59,58,58
30,27,28,23,31,47,23,23
1,4,3,8,0,12,35,35
31,31,31,31,31,59,58,58
24,3,23,31,20,7,47,47
7,28,8,0,11,52,11,11
31,31,31,31,31,59,58,58
31,27,31,29,26,25,30,19
0,4,0,2,5,34,28,39
31,31,31,31,31,59,58,58
22,30,28,19,28,6,56,28
9,1,3,12,3,53,2,30
31,31,31,31,31,59,58,58
28,19,18,21,31,56,8,58
3,12,13,10,0,3,50,0
31,31,31,31,31,59,58,58
31,11,31,27,30,58,35,41
0,20,0,4,1,1,23,17
31,31,31,31,31,59,58,58
25,28,30,31,23,23,4,57
6,3,1,0,8,36,54,1
31,31,31,31,31,59,58,58
27,15,27,17,26,30,46,46
4,16,4,14,5,29,12,12
31,31,31,31,31,59,58,58
8,10,25,30,0,30,42,53
23,21,6,1,31,29,16,5
31,31,31,31,31,59,58,58
